Offer ID,Campaign,Coupon Title,Coupon Code, Start Date,End Date, Landing Page 
52,Ferns n Petals - CPS,Flat Rs. 50 off on Plants category,FNPOOM50P,10/28/2016,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2Fplants%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,Flat 10% Off ,FNPOOM10,10/28/2016,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2F%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,15% Off on personalized gifts starting Rs.199 ,PAY15PSG,10/28/2016,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2Fpersonalised-gifts%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,15% Off on Chocolates starting Rs.399,PAY15CHOC,10/28/2016,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2Fchocolates%2Fbirthday%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,12% Off on Birthday Gifts,PAY12BDG,10/28/2016,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2Fgifts%2Fbirthday%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
52,Ferns n Petals - CPS,12% Off on Anniversary Gifts ,PAYD12ANG,10/28/2016,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=52&aff_id=18862&url=http%3A%2F%2Fwww.fnp.com%2Fgifts%2Fanniversary%3Futm_source%3Daffiliate%26utm_medium%3DBanner%26utm_campaign%3Dpayoom
562,Freecharge CPS, Get 100% cashback on recharge/bill payment. No min transaction amount. Max cashback of Rs.55. Once per New User,NEW55 ,10/28/2016,11/18/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
562,Freecharge CPS,Get Rs.30 cashback on DTH recharge of min. Rs.300. Valid once per user,DTH30,11-02-16,11-11-16,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
562,Freecharge CPS,Get 5% cashback on BSNL Recharges. Max Rs.100 cashback. Valid twice per user,BSNL5,11-03-16,11-11-16,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
717,GreenDust - CPS,Blackberry Deal for promotion:,,11-03-16,11-06-16,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=18862&url=http%3A%2F%2Fwww.greendust.com%2Fblackberry_z10%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
562,Freecharge CPS, Get 100% cashback on recharge/bill payment. No min transaction amount. Max cashback of Rs.75. Once per New User only on app,NOV100,11-03-16,11/18/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
562,Freecharge CPS,Get Flat Rs.10 cashback on Prepaid Mobile Recharge of Rs.100. Once per User per month. App only offer.,10X,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
562,Freecharge CPS,Get Rs.50 cashback on Electricity Bill Payment of Rs.500 or more. Once per User.,POWER50,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
562,Freecharge CPS, Recharge for Rs.50 & Get a Free Burger worth Rs.40. Once Per New User,FREEMCD,11-03-16,11-10-16,http://tracking.payoom.com/aff_c?offer_id=562&aff_id=18862&url=www.freecharge.com%3Futm_source%3DAffiliatesFC%26utm_medium%3DDT-MSite%26utm_campaign%3DPayOOM%26utm_content%3D%7Baffiliate_id%7D
1097,Medlife.com,30% OFF ,MLPMNV1,11-01-16,12/15/2016,http://tracking.payoom.com/aff_c?offer_id=1097&aff_id=18862&url=www.medlife.com%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3D30per%26utm_id%3D%7Baffiliate_id%7D
1097,Medlife.com,25% Off ,MLPMNV2,11-01-16,12/15/2016,http://tracking.payoom.com/aff_c?offer_id=1097&aff_id=18862&url=www.medlife.com%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3D30per%26utm_id%3D%7Baffiliate_id%7D
1097,Medlife.com,20% off ,MLPMNV3,11-03-16,12/15/2016,http://tracking.payoom.com/aff_c?offer_id=1097&aff_id=18862&url=www.medlife.com%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3D30per%26utm_id%3D%7Baffiliate_id%7D
717,GreenDust - CPS,Minimum Order: 499.00,GD16NOV50,11-01-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=18862&url=http%3A%2F%2Fwww.greendust.com%2F%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
717,GreenDust - CPS,Coupon Amount: 75.00 ,GD16NOV75,11-01-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=18862&url=www.greendust.com%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
717,GreenDust - CPS,Coupon Amount: 250.00,GD16NOV250,11-01-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=18862&url=www.greendust.com%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
717,GreenDust - CPS,Coupon Amount: 350.00,GD16NOV350,11-01-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=18862&url=www.greendust.com%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
717,GreenDust - CPS,Coupon Amount: 500.00,GD16NOV500,11-01-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=18862&url=www.greendust.com%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
717,GreenDust - CPS,Coupon Amount: 750.00 ,GD16NOV750,11-01-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=18862&url=www.greendust.com%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
717,GreenDust - CPS,Coupon Amount: 1000.00,GD16NOV1000,11-01-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=18862&url=www.greendust.com%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
717,GreenDust - CPS,Coupon Amount: 1500.00,GD16NOV1500,11-01-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=18862&url=www.greendust.com%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
717,GreenDust - CPS,Coupon Amount: 1500.00,GD16NOV1500,11-01-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=717&aff_id=18862&url=www.greendust.com%3Futm_source%3DPayoom%26utm_medium%3DAffiliate%26utm_campaign%3Dgeneral
1015,Industrybuying -CPS,extra 5% cashback on orders paid via mobikwik wallet. ,,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=1015&aff_id=18862&url=www.indusrtybuying.com%3Futm_source%3Dpayoom%26utm_medium%3Daffiliate%26utm_campaign%3Dcps
766,NetMeds CPS,Flat 5 % on Head & Shoulder Anti Dandruff Shampoo Silky Black 180 ML,,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fhead-amp-shoulder_head-shoulder-anti-dandruff-shampoo-silky-black-180ml%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,Flat 5% Fogg Bleu Series Mountain 120 ML,,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Ffogg-bleu_series-mountain-120ml%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,Flat 5 % Horlicks (Classic Malt) 500G Refill,,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fhorlicks-classic-malt_500g-refill-free-steel-bowl%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,Flat 5% Closeup Deep Action Fresh Breath 2 X 150 G,,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fcloseup-deep-action-fresh-breath_2x150g%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,Flat 15% Bio Oil 60 ML,,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fbio-oil_60ml%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,Flat 15% Dabur Honey 100 G,,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fdabur-honey_100g%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,Flat 10% off Pepsodent Germi Check 150 G + 150 G,,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fpepsodent-germi-check-1-1_pepsodent-germi-check-150g-150g%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,Flat 10% off  Horlicks Classic Malt Value Saver Pack 2 X 500 G,,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fhorlicks-classic-malt_horlicks-classic-malt-value-saver-pack-2500gm%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,flat 20% Onetouch Select Simple Meter,FLAT20,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fprescriptions%2Fone-touch%2Fbasic-meter%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,"Flat 20% off Accu-Chek Active Glucose Monitor With 10 Strips	20%",FLAT20,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fprescriptions%2Faccu-chek-active-glucose-monitor-with-10-strips%2F1%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,Flat 30% Nestle Lactogen 1 400G (Box),SHORT30,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fnestle-lactogen-1_400g-box%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
766,NetMeds CPS,"Flat 30% Nestle Lactogen 2 400G (Box)	",SHORT30,11-03-16,11/30/2016,http://tracking.payoom.com/aff_c?offer_id=766&aff_id=18862&url=http%3A%2F%2Fwww.netmeds.com%2Fnon-prescriptions%2Fnestle-lactogen-2_400g-box%3Fsource_attribution%3DPayoom-CPS%26utm_source%3DPayoom-CPS%26utm_medium%3DCPS-Banner%26utm_campaign%3DDisplay%26utm_content%3DCPS-Cent
